"","seasonkey","seasonid","season","season1","season2","window","year2","temp_cv","rain_sum","rain_cv","rain_sum_lag","rain_cv_lag","gpp_avg","oni_avg","temp_cv2","rain_sum2","rain_cv2","gpp_avg2","oni_avg2","rain_sum_lag2","rain_cv_lag2"
"1",1,"fall_jun_2009","breeding","fall","wet","jun","2009",0.167629281484841,150.8,0.75041470802939,71.9,1.98138310259626,1.4172131147541,0.525,-1.12540401348905,1.52607695182119,-0.411562420923165,-0.666400807732791,0.629601871484544,-0.0906719903162542,2.04549016292674
"2",2,"spring_oct_2009","nonbreeding","spring","dry","oct","2009",0.215142447167948,43.6,2.1725281073535,150.8,0.75041470802939,1.87242798353909,0.9625,0.24600823110403,-0.584491656277268,2.63818282685406,0.189332795573412,1.19242440292869,1.54142383537632,-0.586963504194752
"3",3,"fall_jun_2010","breeding","fall","wet","jun","2010",0.274901681071716,93,0.819039629300009,43.6,2.1725281073535,1.80819672131148,-1.15,1.97088898625582,0.388102459768106,-0.264395164343187,0.0685879490404949,-1.52520439175876,-0.676075182548193,2.45425806545458
"4",4,"spring_oct_2010","nonbreeding","spring","dry","oct","2010",0.211240517031671,39.2,0.737240484415855,93,0.819039629300009,1.5843621399177,-1.2,0.133383557721367,-0.671119472281309,-0.439814757113534,-0.352186472040867,-1.58952696678095,0.345794700711799,-0.440207562732641
"5",5,"fall_jun_2011","breeding","fall","wet","jun","2011",0.31665593467008,96.4,0.800976774378354,39.2,0.737240484415855,1.2344262295082,-0.575,3.17607693417234,0.455042135771228,-0.303131249654518,-1.01001190366663,-0.785494779003598,-0.767091933283901,-0.615136878438964
"6",6,"spring_oct_2011","nonbreeding","spring","dry","oct","2011",0.194333898913433,32.8,1.33540761712173,96.4,0.800976774378354,1.40737704918033,-0.7625,-0.354606302955377,-0.797123568287187,0.842964359666676,-0.684891090922056,-1.0267044353368,0.4161258262803,-0.478835385255999
"7",7,"fall_jun_2012","breeding","fall","wet","jun","2012",0.19743584334982,87.8,1.24277861935838,32.8,1.33540761712173,2.54426229508197,0.25,-0.265072285995089,0.28572413176333,0.644319971765242,1.4522774743705,0.275827708862509,-0.899479934354022,0.664057022065037
"8",8,"spring_oct_2012","nonbreeding","spring","dry","oct","2012",0.223777381783591,119,0.755181241635663,87.8,1.24277861935838,1.78271604938272,-0.2,0.495245571805249,0.899994099791987,-0.401340512303916,0.0206882236592509,-0.303075466337186,0.238229449842326,0.465967821789723
"9",9,"fall_jun_2013","breeding","fall","wet","jun","2013",0.166146248695014,50.8,1.01754708530079,119,0.755181241635663,2.19836065573771,-0.35,-1.16821002941875,-0.442737048270654,0.161307294317614,0.802035848881342,-0.49604319140375,0.883620955059164,-0.57677016460401
"10",10,"spring_oct_2013","nonbreeding","spring","dry","oct","2013",0.206418105975751,5.2,1.30542790372901,50.8,1.01754708530079,1.76172839506173,-0.2125,-0.00580972640243659,-1.34051623231254,0.778672378104142,-0.0187653229812181,-0.319156110092733,-0.527138681344308,-0.0156948922151361
"11",11,"fall_jun_2014","breeding","fall","wet","jun","2014",0.181246838404718,142,0.502757061706692,5.2,1.30542790372901,1.83852459016393,0.125,-0.732349077391564,1.35282131981311,-0.942668259815697,0.125599655540729,0.115021271307038,-1.47040318896892,0.599944729005155
"12",12,"spring_oct_2014","nonbreeding","spring","dry","oct","2014",0.179709891787646,12.6,0.805415449019599,142,0.502757061706692,1.66913580246914,0.6125,-0.776711253214484,-1.19482399630574,-0.293612439902778,-0.192825087571522,0.742166377773374,1.35939033390491,-1.11658496493279
"13",13,"fall_jun_2015","breeding","fall","wet","jun","2015",0.178302077266209,149.8,0.924126167192107,12.6,0.805415449019599,1.59344262295082,1.7,-0.817346181345608,1.50638881182028,-0.0390353796072384,-0.335116567258459,2.14118238450597,-1.31732956273159,-0.469343179454391
"14",14,"spring_oct_2015","nonbreeding","spring","dry","oct","2015",0.209345730632563,137.8,1.4370794140094,149.8,0.924126167192107,1.99795081967213,1.8875,0.0786927529461882,1.27013113180925,1.06100117694054,0.425296328900067,2.38239204083917,1.52073821020912,-0.215477632004813
"15",15,"fall_jun_2016","breeding","fall","wet","jun","2016",0.225807078963387,75.2,0.0376120628290717,137.8,1.4370794140094,2.58524590163934,-0.4,0.553830419292661,0.0376535677517568,-1.94017925333321,1.52932032099243,-0.560365766425939,1.27251070820264,0.881484452160799
"16",16,"spring_oct_2016","nonbreeding","spring","dry","oct","2016",0.230559137172798,78.6,0.932520505927541,75.2,0.0376120628290717,1.36748971193416,-0.2375,0.690993050359384,0.104593243754879,-0.021033584055077,-0.759873120659045,-0.351317397603827,-0.0224094272644734,-2.11130803291982
"17",17,"fall_jun_2017","breeding","fall","wet","jun","2017",0.190727005683125,111.6,0.445772094940265,78.6,0.932520505927541,2.99098360655738,-0.025,-0.458715079330669,0.75430186378519,-1.06487344519209,2.29204450254962,-0.0779464537595268,0.0479216983040279,-0.197526149347187
"18",18,"spring_oct_2017","nonbreeding","spring","dry","oct","2017",0.196455793634375,27.6,0.967574481924691,111.6,0.445772094940265,2.03004115226337,-0.7125,-0.293360280717148,-0.899501896291963,0.0541402359538003,0.485621194853796,-0.962381860314615,0.730547328821837,-1.23844860123505
"19",19,"fall_jun_2018","breeding","fall","wet","jun","2018",0.218667312414358,104.2,0.772432961225652,27.6,0.967574481924691,1.37786885245902,0.2,0.347749365165886,0.608609627778393,-0.364343919865816,-0.740361940489851,0.21150513384032,-1.00704518522349,-0.122562431295471
"20",20,"spring_oct_2018","nonbreeding","spring","dry","oct","2018",0.216034611179963,8.3,1.00766405542682,104.2,0.772432961225652,1.33292181069959,0.725,0.271759507253952,-1.27948299830969,0.140112976476201,-0.824855432772758,0.886892171573297,0.57747370258451,-0.539876973276544
"21",21,"fall_jun_2019","breeding","fall","wet","jun","2019",0.201580042910323,42.4,1.05915659854868,8.3,1.00766405542682,0.747540983606557,0.275,-0.145454787569145,-0.60811742427837,0.2505395702742,-1.92528092153525,0.307988996373603,-1.40627775095058,-0.0368299744389009
"22",22,"spring_oct_2019","nonbreeding","spring","dry","oct","2019",0.195236933693549,12.8,1.6073865142678,42.4,1.05915659854868,0.936475409836066,0.35,-0.32854125473266,-1.19088636830556,1.42622751537644,-1.57011339860812,0.404472858906885,-0.700897932748841,0.0732879900586739
"23",23,"fall_jun_2020","breeding","fall","wet","jun","2020",0.211198834284624,137.4,1.17984649590192,12.8,1.6073865142678,2.50491803278689,-0.55,0.132180433726846,1.26225587580889,0.509361012419883,1.37831634161344,-0.753333491492504,-1.31319243769815,1.24569002607385
"24",24,"spring_oct_2020","nonbreeding","spring","dry","oct","2020",0.150312646386116,0,0,137.4,1.17984649590192,1.93744855967078,-0.383333333333333,-1.62522853724174,-1.44289456031731,-2.02083893203857,0.311561430263492,-0.538924908085209,1.26423645813576,0.331386056811918
